,School,Type
513,Talacogon NHS,Public
514,Talamban NHS,Public
515,Tambulig National High School,Public
516,Tampilisan National High School,Public
517,Tandag National Science High Sch,Science
518,Tangub City National High School,Public
519,Tanque National High School,Public
520,Teofila C. Quibranza NHS,Public
521,The New Filipino Private School,Private
522,The Sisters of Mary Boystown Sch,Private
523,Tigao National High Sch,Public
524,Timber City Academy,Private
525,Tomas Cabili High School -  Annex,Private
526,Tomas Cabili NHS,Public
527,Trento NHS,Public
528,Tubod NHS - ZdS,Public
529,Tudela Nat'l Comprehensive High Sch,Public
530,Tukuran Comp. Natl. High School,Public
531,Tukuran Technical Vocational HS,Private
532,Tupi National High School,Public
533,Unidad NHS,Public
534,University Laboratory School,Private
535,University of Cebu,Private
536,University of Cebu - Mandaue,Private
537,University of Immaculate Conception,Private
538,University of Mindanao/HS Dept,Private
539,University of S&T of Southern Philippines,Private
540,University of San Carlos,Private
541,University of San Jose Recoletos,Private
542,University of Santo Tomas - Espa??a,Private
543,University of Santo Tomas - Espa̱a,Private
544,University of Science & Tech. of Southern Philippines,Science
545,University of Science & Technology of Southern Philippines - SHS,Science
546,University of Southeastern Philippines/HS Dept,Public
547,University of Southern Mindanao/Lab Sch,Private
548,University of St. La Salle - Bacolod,Private
549,University of the Immaculate Conception,Private
550,Valencia Baptist Christian Academy,Private
551,Valencia NHS,Public
552,"West Eastern Phil. College, Inc.",Private
553,"West Prime Horizon Institute, Inc.",Private
554,Western Mindanao Academy,Private
555,Western Mindanao State Univ - Malangas,Laboratory
556,Western Mindanao State Univ/HSD,Laboratory
557,Western Mindanao State Univ/ILS HS Dept,Laboratory
558,Xavier University - Ateneo de Cagayan,Private
559,Yllana Bay View College,Private
560,Zamboanga del Norte NHS - Estaka,Public
561,Zamboanga del Norte NHS - Turno,Public
562,Zamboanga del Sur NHS - Sta. Maria,Public
563,Zamboanga del Sur National High School - Senior High School,Public
